timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-01-01 00:00:00,179949.413172,2252033.00068,223.643571523,4600.0,47649.7205798,680.97315,404182.665606,5216923.37886,577.02645,4147.21109416,1129.6385259,1745.83147934,25843.9668033,50333.3072333,53264.0784891,24557.1768876,264.693121369,82500.0,6309249.17978,7335.9,2558.42337757,743429.202652,93.0340181966,793.564932099,350018.312,102046424.704,2604.96084195,2748.83502297,53096598.0285,976.602004764
2030-01-01 01:00:00,179949.413172,2253386.59185,223.643571523,4600.0,47701.9220944,680.97315,404182.665606,5218840.95225,577.02645,4147.21109416,1169.78098026,1745.83147934,25843.9668033,50333.3072333,54055.0866788,24557.1768876,529.386242738,82500.0,6307389.14314,7335.9,2558.42337757,743510.345441,93.0340181966,793.564932099,350018.312,102029567.18,2604.96084195,2748.83502297,53089308.6794,1953.20400953
2030-01-01 02:00:00,179949.413172,2254739.53242,223.643571523,4600.0,47754.1302664,680.97315,404182.665606,5220757.21967,577.02645,4147.21109416,1209.9219711,1745.83147934,25843.9668033,50333.3072333,54845.7111027,24557.1768876,794.079364107,82500.0,6305524.29258,7335.9,2558.42337757,743591.498579,93.0340181966,1201.94686653,350018.312,102012710.148,2604.96084195,2748.83502297,53083382.87,2929.80601429
2030-01-01 03:00:00,179949.413172,2256091.81929,296.963566142,4600.0,47806.3453227,680.97315,404182.665606,5222672.16977,577.02645,4147.21109416,1250.06135209,1745.83147934,25843.9668033,51376.4547056,55635.9517861,24557.1768876,747.368813277,82500.0,6305760.04522,7335.9,3446.96544186,743672.662417,93.0340181966,1201.94686653,350018.312,101996025.398,2604.96084195,2748.83502297,53078868.4128,3036.3175577
2030-01-01 04:00:00,179949.413172,2257443.44938,296.963566142,4600.0,47858.5674998,680.97315,404182.665606,5224585.79164,577.02645,4147.21109416,1290.1989875,1745.83147934,25843.9668033,51376.4547056,56425.8085038,28648.1103507,1012.06193465,82500.0,6306865.44481,7335.9,3446.96544186,743753.837324,93.0340181966,1610.32880095,350018.312,101967999.983,2604.96084195,2805.70438798,53073571.3222,4012.91956246
2030-01-01 05:00:00,179949.413172,2258794.41968,296.963566142,4600.0,47910.797044,680.97315,404182.665606,5226498.07484,577.02645,4147.21109416,1330.33475222,1745.83147934,24488.5304621,56669.0717007,57215.2807804,28648.1103507,965.351383816,82500.0,6308902.94067,7335.9,3446.96544186,743835.023683,123.534576147,1610.32880095,350018.312,101950847.152,3025.74882414,2805.70438798,53069576.749,3840.57803221
2030-01-01 06:00:00,179949.413172,2260144.72721,296.963566142,4600.0,47963.0342115,680.97315,404182.665606,5228409.00937,577.02645,4147.21109416,1370.46853172,1745.83147934,24141.6666933,56669.0717007,58004.3678901,28648.1103507,918.640832986,82500.0,6310783.0165,7335.9,3446.96544186,743916.221891,123.534576147,1610.32880095,350018.312,101933438.769,3025.74882414,3600.48608905,53058304.3996,3668.23650195
2030-01-01 07:00:00,179949.413172,2261494.36902,370.283560762,4600.0,48015.2792684,680.97315,404182.665606,5230318.5857,577.02645,4147.21109416,1410.6002221,2073.45156959,24232.11704,56669.0717007,58793.0688568,28648.1103507,1183.33395435,82500.0,6313007.79509,7335.9,3446.96544186,743997.432363,123.534576147,1610.32880095,350018.312,101915780.636,3025.74882414,4940.26965943,53053716.2032,3495.8949717
2030-01-01 08:00:00,179949.413172,2262843.34221,370.283560762,4600.0,48067.5324905,680.97315,404182.665606,5232226.79474,577.02645,4147.21109416,1450.72973006,2621.67083777,24814.2999866,56669.0717007,59581.382454,30854.5556304,1136.62340353,82500.0,6315900.52623,7335.9,3446.96544186,744078.655527,154.035134098,2018.71073538,350018.312,101897741.389,4314.39462497,5342.85815887,53047417.4913,4472.49697647
2030-01-01 09:00:00,181549.249033,2264191.64394,370.283560762,4600.0,48119.7941634,680.97315,404182.665606,5234133.62784,577.02645,4147.21109416,1490.8569729,3367.84074691,26042.4752771,56669.0717007,60369.3072051,30854.5556304,1401.31652489,82500.0,6320382.10842,7335.9,3446.96544186,744159.891827,154.035134098,2018.71073538,350018.312,101869344.95,5603.0404258,6167.14380735,53041504.1973,4300.15544621
