timeindex,AT-hydro-phs,AT-hydro-reservoir,AT-lithium-battery,BE-hydro-phs,BE-hydro-reservoir,BE-lithium-battery,CH-hydro-phs,CH-hydro-reservoir,CH-lithium-battery,CZ-hydro-phs,CZ-hydro-reservoir,CZ-lithium-battery,DE-cavern-acaes,DE-flex-decentral_heat-tes,DE-hydro-phs,DE-hydro-reservoir,DE-hydrogen-storage,DE-lithium-battery,DK-lithium-battery,FR-hydro-phs,FR-hydro-reservoir,FR-lithium-battery,LU-hydro-phs,LU-hydro-reservoir,LU-lithium-battery,NL-lithium-battery,NO-hydro-phs,NO-hydro-reservoir,PL-hydro-phs,PL-lithium-battery,SE-hydro-reservoir,SE-lithium-battery
2030-01-01 00:00:00,199825.989,2422853.08679,85.6294640048,4600.0,56408.6813386,567.339444468,519987.954997,5565048.99235,495.181511403,5000.0,1191.41661615,5260.67685,3000.0,52312.306946,58749.6,54109.2236647,302735.185589,20376.7873791,264.693121369,82500.0,6509844.13862,6557.06025611,4104.0,745855.754866,1.53234434413,718.515932296,350018.312,102288584.77,5467.7922832,5497.67004593,53335205.7063,172.341530252
2030-01-01 01:00:00,199825.989,2424206.67796,85.6294640048,4600.0,56460.8828532,567.339444468,519987.954997,5566527.03824,495.181511403,5000.0,1231.55907051,5260.67685,3000.0,52312.306946,58749.6,54900.2318544,302735.185589,20376.7873791,529.386242738,82500.0,6507984.10198,6557.06025611,4104.0,745936.897655,1.53234434413,718.515932296,350018.312,102271822.655,5467.7922832,5497.67004593,53329783.5228,0.0
2030-01-01 02:00:00,199825.989,2425559.61853,85.6294640048,4600.0,56513.0910252,567.339444468,519987.954997,5568131.21931,495.181511403,5000.0,1271.70006135,5260.67685,3000.0,52312.306946,58749.6,55690.8562783,302735.185589,20376.7873791,794.079364107,82500.0,6508935.16105,6557.06025611,4104.0,746018.050793,1.53234434413,837.280927868,350018.312,102259055.171,5467.7922832,6649.29964024,53320784.9611,0.0
2030-01-01 03:00:00,199825.989,2426911.9054,150.323576904,4600.0,56565.3060815,567.339444468,519987.954997,5570046.1694,495.181511403,5000.0,1311.83944234,5260.67685,3000.0,52312.306946,58749.6,56481.0969617,302735.185589,21500.2751094,747.368813277,82500.0,6512371.54224,6557.06025611,4104.0,746099.214631,32.032902295,1245.66286229,350018.312,102242463.372,5467.7922832,6649.29964024,53315450.6709,976.602004764
2030-01-01 04:00:00,199825.989,2428263.53549,223.643571523,4600.0,56617.5282586,567.339444468,519987.954997,5571959.79127,495.181511403,5000.0,1351.97707775,5260.67685,3000.0,52312.306946,58749.6,57270.9536794,302735.185589,24486.9391321,1012.06193465,82500.0,6516757.43064,6557.06025611,4104.0,746180.389538,32.032902295,1654.04479672,350018.312,102214437.957,5467.7922832,6649.29964024,53310135.9269,1953.20400953
2030-01-01 05:00:00,199825.989,2429614.50579,223.643571523,4600.0,56669.7578028,567.339444468,519987.954997,5573872.07447,495.181511403,5000.0,1392.11284247,5260.67685,3000.0,50243.4830569,58749.6,58060.4259559,302735.185589,30572.9635733,965.351383816,82500.0,6522199.34764,6557.06025611,4104.0,746261.575897,62.5334602458,2062.42673115,350018.312,102197379.214,5467.7922832,6649.29964024,53305071.5145,2929.80601429
2030-01-01 06:00:00,199825.989,2430964.81332,223.643571523,4600.0,56721.9949703,567.339444468,519987.954997,5575783.00901,495.181511403,5000.0,1432.24662197,5260.67685,3000.0,49714.0594097,58749.6,58849.5130656,302735.185589,37210.2610914,1230.04450518,82500.0,6527996.92876,6557.06025611,4104.0,746342.774105,62.5334602458,2062.42673115,350018.312,102180065.648,5467.7922832,8023.71715172,53300548.072,2757.46448404
2030-01-01 07:00:00,199825.989,2432314.45513,296.963566142,4600.0,56774.2400272,567.339444468,519987.954997,5577692.58534,495.181511403,5000.0,1472.37831235,5260.67685,3000.0,49852.115202,58749.6,59638.2140323,302735.185589,43207.6255396,1494.73762655,82500.0,6534304.47442,6557.06025611,4104.0,746423.984577,93.0340181966,2062.42673115,350018.312,102162503.139,5467.7922832,8023.71715172,53295210.3138,3734.0664888
2030-01-01 08:00:00,199825.989,2433663.42832,296.963566142,4600.0,56826.4932493,567.339444468,519987.954997,5579600.79437,495.181511403,5000.0,1512.50782031,5260.67685,3000.0,49852.115202,58749.6,60426.5276296,302735.185589,50984.2198467,1448.02707572,82500.0,6540532.24111,6557.06025611,4104.0,746505.207741,93.0340181966,2062.42673115,350018.312,102145502.648,5467.7922832,8023.71715172,53288552.7228,4710.66849357
2030-01-01 09:00:00,199825.989,2435011.73005,370.283560762,4600.0,56878.7549222,567.339444468,519987.954997,5581507.62747,495.181511403,5000.0,1552.63506315,5260.67685,3000.0,49852.115202,58749.6,61214.4523807,302735.185589,59344.9207999,1712.72019709,82500.0,6546829.68998,6557.06025611,4104.0,746586.444041,123.534576147,2062.42673115,350018.312,102117106.209,5467.7922832,8023.71715172,53282167.7561,4538.32696331
2030-01-01 10:00:00,199825.989,2436359.35749,370.283560762,4600.0,56931.0253415,567.339444468,519987.954997,5583413.07646,577.02645,5000.0,1592.75996879,5260.67685,3000.0,49852.115202,58749.6,62001.9865585,302735.185589,68700.931063,1866.15,82500.0,6552996.54133,6557.06025611,4104.0,746667.693936,154.035134098,2062.42673115,350018.312,102098213.13,5467.7922832,8023.71715172,53275593.6517,4365.98543306
2030-01-01 11:00:00,199825.989,2437706.30788,443.603555381,4600.0,56983.3048124,567.339444468,519987.954997,5585317.13359,577.02645,5000.0,1632.88247573,5260.67685,3000.0,49852.115202,58749.6,62789.1281857,302735.185589,77637.9153716,1819.43944917,82500.0,6557053.41205,6557.06025611,4104.0,746748.957901,184.535692049,2470.80866557,350018.312,102079483.239,5467.7922832,8023.71715172,53266425.7756,5342.58743782
2030-01-01 12:00:00,199825.989,2439052.5785,516.92355,4600.0,57035.59365,567.339444468,519987.954997,5587219.7916,577.02645,5000.0,1673.0025331,5260.67685,3000.0,52312.306946,58749.6,63575.8750345,302735.185589,81250.0,1866.15,82500.0,6563335.43416,6557.06025611,4104.0,746830.236427,215.03625,2879.1906,350018.312,102059888.172,6756.43808403,8023.71715172,53258102.0535,5170.24590757
2030-01-01 13:00:00,199825.989,2440398.16664,516.92355,4600.0,57087.8921793,567.339444468,519987.954997,5589121.04364,577.02645,5000.0,1713.12010063,5260.67685,3000.0,52312.306946,58749.6,64362.2246268,302735.185589,81250.0,1866.15,82500.0,6569612.23764,6557.06025611,4104.0,746911.530017,215.03625,2879.1906,350018.312,102031397.471,6756.43808403,8023.71715172,53246809.6049,4997.90437732
2030-01-01 14:00:00,199825.989,2441743.06967,516.92355,4600.0,57140.2007351,567.339444468,519987.954997,5591020.88336,577.02645,5000.0,1753.23514865,5260.67685,3000.0,52312.306946,58749.6,65148.1742343,302735.185589,81250.0,1866.15,82500.0,6575378.85775,6557.06025611,4104.0,746992.839192,215.03625,2879.1906,350018.312,102011562.68,6756.43808403,8458.74166726,53236443.4548,5908.90680763
2030-01-01 15:00:00,199825.989,2443087.28499,516.92355,4600.0,57192.5196619,567.339444468,519987.954997,5592919.30482,577.02645,5000.0,1793.3476581,5260.67685,3000.0,52312.306946,58749.6,65933.7208782,302735.185589,81250.0,1866.15,82500.0,6577397.81728,6557.06025611,4104.0,747074.164488,215.03625,2879.1906,350018.312,101991278.12,6756.43808403,8458.74166726,53225146.3705,6885.2784
2030-01-01 16:00:00,199825.989,2444430.81004,516.92355,4600.0,57244.8493142,567.339444468,519987.954997,5593739.67993,577.02645,5000.0,1833.45762053,5260.67685,3000.0,52312.306946,58749.6,66718.8613294,302735.185589,81250.0,1866.15,82500.0,6575461.73128,6557.06025611,4104.0,747155.506456,215.03625,2879.1906,350018.312,101962814.257,6756.43808403,8458.74166726,53213847.0864,6885.2784
2030-01-01 17:00:00,199825.989,2445773.64229,516.92355,4600.0,57297.1900563,466.679071006,519987.954997,5593867.86203,577.02645,5000.0,1823.56503809,5260.67685,3000.0,52312.306946,58749.6,67503.5921087,302735.185589,81250.0,1866.15,82500.0,6573520.26984,6099.31834322,4104.0,747236.865663,215.03625,2879.1906,350018.312,101934375.299,6756.43808403,8458.74166726,53202545.6638,6885.2784
2030-01-01 18:00:00,199825.989,2447115.77928,516.92355,4600.0,57349.542262,466.679071006,519987.954997,5595002.00661,577.02645,5000.0,1813.66992354,5260.67685,3000.0,52312.306946,58749.6,68287.9094862,302735.185589,81250.0,1866.15,82500.0,6571573.39295,6099.31834322,4104.0,747318.242688,215.03625,2879.1906,350018.312,101913893.443,6756.43808403,8458.74166726,53191242.1505,5990.43014723
2030-01-01 19:00:00,199825.989,2448457.21857,516.92355,4600.0,57401.9063154,466.679071006,519987.954997,5596579.9324,577.02645,5000.0,1853.77230023,5260.67685,3000.0,52312.306946,58749.6,69071.8094821,302735.185589,81250.0,1866.15,82500.0,6571034.97761,6099.31834322,4104.0,747399.63813,215.03625,2879.1906,350018.312,101893590.594,6756.43808403,8458.74166726,53179936.581,4841.48661221
2030-01-01 20:00:00,199825.989,2449797.95777,516.92355,4600.0,57454.2826102,466.679071006,519987.954997,5598200.86437,577.02645,5000.0,1893.87220214,5260.67685,3000.0,52312.306946,58749.6,69855.2878659,302735.185589,81250.0,1866.15,82500.0,6574091.60322,6099.31834322,4104.0,747481.0526,215.03625,2879.1906,350018.312,101873883.941,6756.43808403,8458.74166726,53168628.9767,4841.48661221
2030-01-01 21:00:00,199825.989,2451137.99453,516.92355,4600.0,57506.6715498,466.679071006,519987.954997,5599898.195,577.02645,5000.0,1933.96967385,5260.67685,3000.0,52312.306946,58749.6,70638.3401569,302735.185589,81250.0,1866.15,82500.0,6573335.453,6099.31834322,4104.0,747562.486725,215.03625,2879.1906,350018.312,101845611.301,6756.43808403,8458.74166726,53157319.3457,3692.5430772
2030-01-01 22:00:00,199825.989,2452477.32655,516.92355,4600.0,57559.0735477,466.679071006,519987.954997,5601786.56081,577.02645,5000.0,1974.06477053,5260.67685,3000.0,52312.306946,58749.6,71420.9616241,302735.185589,81250.0,1866.15,82500.0,6573010.01447,6099.31834322,4104.0,747643.941148,215.03625,2879.1906,350018.312,101826650.59,6756.43808403,8458.74166726,53146007.6828,2772.72464047
2030-01-01 23:00:00,199825.989,2453815.95156,516.92355,4600.0,57611.4890269,466.679071006,519987.954997,5603673.47727,577.02645,5000.0,2014.15755798,5260.67685,3000.0,52312.306946,58749.6,72203.1472862,302735.185589,81250.0,1866.15,82500.0,6576591.22771,6099.31834322,4104.0,747725.416527,215.03625,2879.1906,350018.312,101808095.994,6756.43808403,9397.79855486,53134693.9695,3432.51163996
2030-01-02 00:00:00,199825.989,2455153.86733,516.92355,4600.0,57663.9184206,466.679071006,519987.954997,5605558.94251,577.02645,5000.0,2054.24811258,5260.67685,3000.0,52312.306946,58749.6,72984.8919116,302735.185589,81250.0,1866.15,82500.0,6580383.56479,6099.31834322,4104.0,747806.913534,215.03625,2879.1906,350018.312,101789980.967,6756.43808403,9397.79855486,53123836.0657,4409.11364473
2030-01-02 01:00:00,199825.989,2456491.07167,516.92355,4600.0,57716.3621635,466.679071006,519987.954997,5607442.95505,577.02645,5000.0,2094.33651452,5260.67685,3000.0,52312.306946,58749.6,73766.1901985,302735.185589,81250.0,1866.15,82500.0,6586158.62749,6099.31834322,4104.0,747888.432846,215.03625,2879.1906,350018.312,101761957.781,6756.43808403,9689.97315,53112684.6378,5385.71564949
2030-01-02 02:00:00,199825.989,2457827.56232,516.92355,4600.0,57768.8206611,563.267720709,519987.954997,5609325.51332,577.02645,5000.0,2134.42282048,5260.67685,3000.0,52312.306946,58749.6,74547.0374959,302735.185589,81250.0,1866.15,82500.0,6592363.95092,6295.38221255,4104.0,747969.975093,215.03625,2879.1906,350018.312,101744469.462,6756.43808403,9689.97315,53101364.552,6332.07237861
2030-01-02 03:00:00,199825.989,2459163.33695,516.92355,4600.0,57821.2942814,659.856370411,519987.954997,5611206.61562,577.02645,5000.0,2174.50705684,5260.67685,3000.0,52312.306946,58749.6,75327.429984,302735.185589,81250.0,1866.15,82500.0,6598563.49096,7335.9,4104.0,748051.540847,215.03625,2879.1906,350018.312,101726948.391,6756.43808403,9689.97315,53090042.2612,6568.51982414
2030-01-02 04:00:00,199825.989,2460498.39315,516.92355,4600.0,57873.7833547,659.856370411,519987.954997,5613086.26009,577.02645,5000.0,2214.58921966,5260.67685,3000.0,52312.306946,58749.6,76107.3646742,302735.185589,81250.0,1866.15,82500.0,6604757.21065,7335.9,4104.0,748133.130622,215.03625,2879.1906,350018.312,101709123.303,6756.43808403,9689.97315,53078717.7299,6568.51982414
2030-01-02 05:00:00,199825.989,2461832.72842,516.92355,4600.0,57926.2881741,659.856370411,519987.954997,5614964.44471,577.02645,5000.0,2254.6692747,5260.67685,3000.0,51879.3287289,58749.6,76886.8394088,302735.185589,81250.0,1866.15,82500.0,6610945.07477,7335.9,4104.0,748214.744872,215.03625,2879.1906,350018.312,101681399.652,6756.43808403,9689.97315,53067390.9254,6568.51982414
2030-01-02 06:00:00,199825.989,2463166.34021,516.92355,4600.0,57978.8089952,659.856370411,519987.954997,5616841.16733,577.02645,5000.0,2294.74715739,5260.67685,3000.0,51879.3287289,58749.6,77665.8528611,302735.185589,81250.0,1866.15,82500.0,6617127.0499,7335.9,4104.0,748296.383996,215.03625,2879.1906,350018.312,101662956.877,6756.43808403,9689.97315,53056061.8183,6441.13651059
2030-01-02 07:00:00,199825.989,2464499.22587,516.92355,4600.0,58031.3460361,659.856370411,519987.954997,5618716.42562,577.02645,5000.0,2334.82277287,5260.67685,3000.0,51879.3287289,58749.6,78444.4045358,302735.185589,81250.0,1866.15,82500.0,6623303.10435,7335.9,4104.0,748378.048332,215.03625,2879.1906,350018.312,101643869.781,6756.43808403,9689.97315,53044730.3823,6662.9176281
2030-01-02 08:00:00,199825.989,2465831.38268,516.92355,4600.0,58083.8994774,659.856370411,519987.954997,5620590.21712,577.02645,5000.0,2374.89599595,5260.67685,3000.0,51879.3287289,58749.6,79222.4947684,302735.185589,81250.0,1866.15,82500.0,6629473.20821,7335.9,4104.0,748459.738161,215.03625,2879.1906,350018.312,101624422.881,6756.43808403,9689.97315,53033396.594,6885.2784
2030-01-02 09:00:00,199825.989,2467162.80786,516.92355,4600.0,58136.4694625,659.856370411,519987.954997,5622462.53919,577.02645,5000.0,2414.96667114,5260.67685,3000.0,51879.3287289,58749.6,80000.1247257,302735.185589,81250.0,1866.15,82500.0,6635637.33335,7335.9,4104.0,748541.453705,215.03625,2879.1906,350018.312,101597012.666,6756.43808403,9689.97315,53022060.4334,6885.2784
2030-01-02 10:00:00,199825.989,2468493.49852,516.92355,4600.0,58189.056097,659.856370411,519987.954997,5624333.38906,577.02645,5000.0,2455.03461262,5260.67685,3000.0,51879.3287289,58749.6,80777.2964053,302735.185589,81250.0,1866.15,82500.0,6641795.45337,7335.9,4104.0,748623.19513,215.03625,2879.1906,350018.312,101576703.755,6756.43808403,9689.97315,53010721.8834,6885.2784
